EXID,ExCreation,ExThreat,ExTTPs,ExCategories,ExGroups,ExSoftware,ExStructure,ExMaturity,ExComplexity,ExLength,ExAudience,ExTradeCraftIntra,ExTradeCraftInter,ExTechniqueIDs,ExTactics,ExPlatforms,ExDataSources
76,2021-08-12,Phishing,Social Media Accounts;Resource Development;Account Discovery;Link Target;Reconnaissance;Employee Names;Command Obfuscation,Financial;Malware;Data breach,Wizard Spider;HEXANE;APT32;FIN6;TA505;Aquatic Panda;Moonstone Sleet;Cleaver;Turla;Volt Typhoon;MuddyWater;Gamaredon Group;Star Blizzard;Sidewinder,IceApple;Astaroth;Zeus Panda;XCSSET;SHARPSTATS,Legal;Impact;Privacy,1,5,135,Legal;Media,0.143498,0.582582,T1585.001;T1608.002;T1087;T1608.005;T1591.004;T1589.003;T1027.010,defense-evasion;discovery;reconnaissance;resource-development,ESXi;IaaS;Identity Provider;Linux;Office Suite;PRE;SaaS;Windows;macOS,Detection of Employee Names;Detection of Identify Roles;Detection Strategy for Command Obfuscation;Detection of Link Target;Detection of Upload Tool;Detection of Social Media Accounts;Enumeration of User or Account Information Across Platforms
77,2025-06-11,Supply Chain,Acquire Access;Cloud Accounts;KernelCallbackTable;Reconnaissance;Defense Evasion;Identify Business Tempo;Software;Initial Access,Initial Access;Supply Chain;APT,APT32;Medusa Group;TeamTNT;Sandworm Team;Rocke;APT29;Lazarus Group;Andariel;Magic Hound,FinFisher;BeaverTail;Kinsing;Dok;COATHANGER;Penquin,Impact;Privacy;Exfiltration;Developments;Notification,4,5,75,Vulnerability Management;Exec,0.464504,0.909072,T1650;T1586.003;T1574.013;T1592.003;T1222.002;T1591.003;T1592.002;T1195.001,defense-evasion;initial-access;persistence;privilege-escalation;reconnaissance;resource-development,Linux;PRE;Windows;macOS,Supply-chain tamper in dependencies/dev-tools (manager→write/install→first-run→egress);Detection of Software;Detection of Cloud Accounts;Detection of Identify Business Tempo;Detection of Acquire Access;Detection of Firmware;Unix-like File Permission Manipulation Behavioral Chain Detection Strategy;Detection Strategy for Hijack Execution Flow through the KernelCallbackTable on Windows.
78,2021-06-13,Web Shell,Malicious Link;Clear Command History,Initial Access;Web,APT41;Mustang Panda;FIN7;Mofang;Transparent Tribe,SocGholish;TSCookie;BackConfig;Bazar,Privacy;Validation;Exfiltration;Media;Legal;Notification;Response;Impact;Developments;Detection,3,5,210,SecOps;Threat Intel,0.515056,0.659519,T1204.001;T1070.003,defense-evasion;execution,ESXi;Linux;Network Devices;Windows;macOS,Behavioral Detection of Command History Clearing;User Execution – Malicious Link (click → suspicious egress → download/write → follow-on activity)
79,2022-02-02,Data Breach,SSH Hijacking;Password Policy Discovery;Reconnaissance;Account Manipulation,Dark web;Data breach;Exfiltration,Lazarus Group;HAFNIUM;OilRig;Turla;Andariel,Net;CrackMapExec,Validation;Impact;Media,1,4,135,Vulnerability Management;SecOps,0.30492,0.948676,T1563.001;T1201;T1592.002;T1098,discovery;lateral-movement;persistence;privilege-escalation;reconnaissance,Containers;ESXi;IaaS;Identity Provider;Linux;Network Devices;Office Suite;PRE;SaaS;Windows;macOS,Detection Strategy for SSH Session Hijacking;Detection of Software;Account Manipulation Behavior Chain Detection;Password Policy Discovery – cross-platform behavior-chain analytics
80,2022-01-26,Ransomware;Web Shell,System Information Discovery;Clear Command History;Symmetric Cryptography;Defense Evasion;Windows File and Directory Permissions Modification;Credential Access,Initial Access;Web,APT41;APT3;Blue Mockingbird;Kimsuky;Moses Staff;APT37;Sandworm Team;Daggerfly;FIN4;admin@338;Darkhotel;Stealth Falcon;BlackByte,BACKSPACE;FRP;WellMess;Pisloader;Kobalos,Exfiltration;Media;Legal;Privacy;Developments;Notification;Impact;Validation;Response;Detection,5,3,210,Media;SecOps,0.699437,0.773768,T1082;T1070.003;T1573.001;T1564.008;T1222.001;T1003.003,command-and-control;credential-access;defense-evasion;discovery,ESXi;IaaS;Linux;Network Devices;Office Suite;Windows;macOS,Windows DACL Manipulation Behavioral Chain Detection Strategy;System Discovery via Native and Remote Utilities;Behavioral Detection of Command History Clearing;Detection Strategy for Email Hiding Rules;Detection of NTDS.dit Credential Dumping from Domain Controllers;Detection Strategy for Encrypted Channel via Symmetric Cryptography across OS Platforms
81,2021-06-23,Crypto Miner;Remote Access Trojan,Network Devices;Active Setup;Hidden Window;Cloud Administration Command;Device Registration;Cloud Accounts;Spearphishing Link;Fast Flux DNS,Initial Access;Botnet,Wizard Spider;Evilnum;Storm-1811;APT1;Mustard Tempest;Cobalt Group;Lazarus Group;APT33;Transparent Tribe;APT29;TA577;Higaisa;Earth Lusca;DarkHydrus;APT39;ZIRCONIUM,KeyBoy;IMAPLoader;Kevin;OutSteel;njRAT,Detection;Impact;Response;Privacy;Exfiltration;Media,2,5,135,Media;SecOps,0.523274,0.868558,T1584.008;T1547.014;T1564.003;T1651;T1098.005;T1586.003;T1566.002;T1568.001,command-and-control;defense-evasion;execution;initial-access;persistence;privilege-escalation;resource-development,ESXi;IaaS;Identity Provider;Linux;Office Suite;PRE;SaaS;Windows;macOS,Detection Strategy for Cloud Administration Command;Detection of Network Devices;Detect Active Setup Persistence via StubPath Execution;Detection Strategy for Spearphishing Links;Detection of Cloud Accounts;Detection Strategy for Dynamic Resolution using Fast Flux DNS;Suspicious Device Registration via Entra ID or MFA Platform;Detection Strategy for Hidden Windows
82,2025-06-06,Remote Access Trojan,Masquerade File Type;Software Deployment Tools,APT;C2;Exfiltration,Mustang Panda;Medusa Group;Threat Group-1314;Volt Typhoon;Sandworm Team;APT32;BlackByte;Silence,Brute Ratel C4,Detection;Validation;Legal;Notification;Developments;Exfiltration;Privacy;Media;Impact,5,4,75,Vulnerability Management;Threat Intel,0.897297,1.0,T1036.008;T1072,defense-evasion;execution;lateral-movement,Linux;Network Devices;SaaS;Windows;macOS,Detection Strategy for Masquerading via File Type Modification;Detection of Adversary Abuse of Software Deployment Tools
83,2025-01-02,Crypto Miner;Remote Access Trojan,Privilege Escalation;Component Object Model;Command And Control,Crypto;Botnet;APT,BackdoorDiplomacy;APT3;APT41;APT32;Patchwork;Velvet Ant;Aquatic Panda;Chimera;Medusa Group;Sidewinder;APT19;Gamaredon Group;SideCopy;Evilnum,PlugX;RainyDay;Kerrdown,Media;Response;Privacy;Validation;Developments;Exfiltration;Notification;Legal,3,4,165,Vulnerability Management;SecOps,0.567669,1.0,T1574.001;T1559.001;T1090.004,command-and-control;defense-evasion;execution;persistence;privilege-escalation,ESXi;Linux;Windows;macOS,Domain Fronting Behavior via Mismatched TLS SNI and HTTP Host Headers;Detection Strategy for Hijack Execution Flow for DLLs;Detect Abuse of Component Object Model (T1559.001)
84,2020-06-20,Insider Threat,Cloud Accounts;Audio Capture;Databases,Impact;Financial;Exfiltration,HAFNIUM;Ke3chang;FIN6;APT28;Sea Turtle;Scattered Spider;Storm-0501;Sandworm Team;APT5;APT29;APT37;LAPSUS$;Turla;APT33,PowerSploit;Crimson;Attor;Remcos;VERMIN,Validation;Legal;Notification;Impact,2,2,60,Network;SecOps,0.0,0.750107,T1078.004;T1123;T1213.006,collection;defense-evasion;initial-access;persistence;privilege-escalation,IaaS;Identity Provider;Linux;Office Suite;SaaS;Windows;macOS,"Detection of Abused or Compromised Cloud Accounts for Access and Persistence;Behavioral Detection Strategy for T1123 Audio Capture Across Windows, Linux, macOS;Suspicious Database Access and Dump Activity Across Environments (T1213.006)"
85,2023-02-10,Supply Chain;Ransomware,Lateral Movement;Execution;Create Cloud Instance;Exploit Public-Facing Application;Credentials In Files,Crypto;Ransom negotiation,Moses Staff;RedCurl;APT28;APT5;Leviathan;OilRig;Salt Typhoon;BlackTech;Blue Mockingbird;menuPass;Volt Typhoon,Agent Tesla;Pupy,Detection;Media;Impact;Response;Developments;Validation;Privacy,4,2,135,Threat Intel;Media,1.0,1.0,T1080;T1651;T1578.002;T1190;T1552.001,credential-access;defense-evasion;execution;initial-access;lateral-movement,Containers;ESXi;IaaS;Linux;Network Devices;Office Suite;SaaS;Windows;macOS,Detection Strategy for Cloud Administration Command;Detection Strategy for Modify Cloud Compute Infrastructure: Create Cloud Instance;Detect Access to Unsecured Credential Files Across Platforms;Detection of Tainted Content Written to Shared Storage;Exploit Public-Facing Application – multi-signal correlation (request → error → post-exploit process/egress)
86,2021-04-26,Supply Chain;Crypto Miner,Steal or Forge Authentication Certificates;Cloud Administration Command;Software;Credential Access;Resource Development;Dynamic Data Exchange;Defense Evasion,Dark web;DDoS;Supply Chain,Andariel;BITTER;Cobalt Group;Leviathan,Pacu;HAWKBALL,Detection;Impact;Media;Notification;Response;Exfiltration;Legal;Developments;Privacy;Validation,4,2,75,Vulnerability Management;SecOps,0.176739,1.0,T1649;T1651;T1592.002;T1606;T1608.003;T1559.002;T1678,credential-access;defense-evasion;execution;reconnaissance;resource-development,IaaS;Identity Provider;Linux;Office Suite;PRE;SaaS;Windows;macOS,Detection Strategy for Cloud Administration Command;Detection of Software;Detection Strategy for Forged Web Credentials;Detection Strategy for Steal or Forge Authentication Certificates;Detect Abuse of Dynamic Data Exchange (T1559.002);Multi-Platform Detection Strategy for T1678 - Delay Execution;Detection of Install Digital Certificate
87,2023-05-12,Ransomware,Command And Control;Persistence;DNS;Environmental Keying;Acquire Infrastructure,Dark web;Malware;Ransom negotiation;Crypto,Equation;Cobalt Group;Chimera;BRONZE BUTLER;APT39;FIN7;Tropic Trooper;Sea Turtle;Rocke;Ember Bear;LazyScripter;Patchwork;Agrius;Star Blizzard;RTM;Ke3chang,Green Lambert;PolyglotDuke;Sliver;QUADAGENT;HTTPBrowser,Developments;Notification;Detection;Response;Impact;Exfiltration;Validation,5,5,195,SecOps;Threat Intel,0.398014,0.524504,T1102.001;T1546.011;T1071.004;T1480.001;T1583,command-and-control;defense-evasion;persistence;privilege-escalation;resource-development,ESXi;Linux;Network Devices;PRE;Windows;macOS,Detection of Acquire Infrastructure;Detection Strategy for Application Shimming via sdbinst.exe and Registry Artifacts (Windows);Environmental Keying Discovery-to-Decryption Behavioral Chain Detection Strategy;Behavioral Detection of DNS Tunneling and Application Layer Abuse;Detection Strategy for Web Service: Dead Drop Resolver
88,2021-04-27,Data Breach,Reconnaissance;BITS Jobs;Fileless Storage;Remote Service Session Hijacking,Financial;Data breach;Exfiltration,APT39;APT32;APT41;Leviathan;Wizard Spider;Turla;Patchwork,ThreatNeedle;SysUpdate;PipeMon;REvil;Sibot;PolyglotDuke,Validation;Privacy;Developments;Detection;Exfiltration,5,5,195,Legal;SecOps,0.49022,1.0,T1597.001;T1197;T1027.011;T1563,defense-evasion;lateral-movement;persistence;reconnaissance,Linux;PRE;Windows;macOS,"Detect abuse of Windows BITS Jobs for download, execution and persistence;Detection of Remote Service Session Hijacking;Detection Strategy for Fileless Storage via Registry, WMI, and Shared Memory;Detection of Threat Intel Vendors"
89,2025-01-16,Ransomware,Fast Flux DNS;Msiexec;Resource Development,Ransom negotiation;Financial;Dark web,menuPass;Wizard Spider;Machete;ZIRCONIUM;Mustang Panda;Threat Group-3390;FIN8;OilRig;APT38;TA505;Molerats,gh0st RAT;AppleJeus;RCSession;FlawedAmmyy,Response;Notification;Impact;Developments;Validation;Legal;Privacy;Media;Exfiltration,3,3,120,Legal;SecOps,0.532215,0.764488,T1568.001;T1218.007;T1588.003,command-and-control;defense-evasion;resource-development,ESXi;Linux;PRE;Windows;macOS,"Detection of Msiexec Abuse for Local, Network, and DLL Execution;Detection Strategy for Dynamic Resolution using Fast Flux DNS;Detection of Code Signing Certificates"
90,2025-08-10,DDoS;Ransomware,Confluence;NTDS;Initial Access,Ransom negotiation;DDoS;Web,GALLIUM;Suckfly;Indrik Spider;APT28;Akira;Silence;UNC3886;Lazarus Group;Sandworm Team;Threat Group-3390;Medusa Group;FIN5;Dragonfly;FIN7;Play;Chimera,Impacket;Linux Rabbit;Industroyer;Dtrack;SeaDuke;CrackMapExec,Impact;Notification;Detection;Response;Privacy;Media;Exfiltration,3,2,150,Threat Intel;Network,0.551277,0.947743,T1213.001;T1003.003;T1078,collection;credential-access;defense-evasion;initial-access;persistence;privilege-escalation,Containers;ESXi;IaaS;Identity Provider;Linux;Network Devices;Office Suite;SaaS;Windows;macOS,Programmatic and Excessive Access to Confluence Documentation;Detection of NTDS.dit Credential Dumping from Domain Controllers;Detection of Valid Account Abuse Across Platforms
91,2023-01-28,Insider Threat,Remote Service Session Hijacking;Purchase Technical Data;Credentials;Cloud Accounts;Brute Force,Impact;Data breach;Exfiltration;Financial,APT28;Ember Bear;Chimera;Dragonfly;Leviathan;Magic Hound;Turla;LAPSUS$;APT38;HEXANE;FIN5;APT41;APT29,PoshC2;Chaos;CrackMapExec;Pysa;Caterpillar WebShell;QakBot,Developments;Legal;Exfiltration;Notification;Privacy;Detection;Impact,2,4,30,Vulnerability Management;SecOps,0.852196,0.91314,T1563;T1597.002;T1589.001;T1586.003;T1110,credential-access;lateral-movement;reconnaissance;resource-development,Containers;ESXi;IaaS;Identity Provider;Linux;Network Devices;Office Suite;PRE;SaaS;Windows;macOS,Detection of Purchase Technical Data;Detection of Cloud Accounts;Detection of Credentials;Detection of Remote Service Session Hijacking;Brute Force Authentication Failures with Multi-Platform Log Correlation
92,2024-04-01,Phishing,GUI Input Capture;Resource Development;Dynamic Data Exchange;Persistence;Compression;Web Services,Initial Access;Malware;Data breach,IndigoZebra;Molerats;Winter Vivern;ZIRCONIUM;Sidewinder;POLONIUM;APT29;LazyScripter;Turla;Gallmaker,Bazar;POWERSTATS;Reaver;S-Type,Developments;Detection;Media;Impact;Response;Legal;Validation;Notification;Exfiltration,4,5,75,SecOps;Media,0.826617,0.862829,T1056.002;T1583.006;T1559.002;T1547.009;T1027.015;T1584.006,collection;credential-access;defense-evasion;execution;persistence;privilege-escalation;resource-development,Linux;PRE;Windows;macOS,Behavioral Detection of Spoofed GUI Credential Prompts;Detection Strategy for Compressed Payload Creation and Execution;Detection of Web Services;Detect Abuse of Dynamic Data Exchange (T1559.002);Detection Strategy for T1547.009 – Shortcut Modification (Windows)
93,2024-03-04,Web Shell,Defense Evasion;Local Account;Application Window Discovery,Exfiltration;C2,Volt Typhoon;MuddyWater;Daggerfly;APT37,ObliqueRAT;Pikabot;build_downer;njRAT;Aria-body,Impact;Detection;Notification,4,4,105,Network;SecOps,0.772608,0.972621,T1027.003;T1136.001;T1010,defense-evasion;discovery;persistence,Containers;ESXi;Linux;Network Devices;Windows;macOS,Detection of Application Window Enumeration via API or Scripting;T1136.001 Detection Strategy - Local Account Creation Across Platforms;Detection Strategy for Steganographic Abuse in File & Script Execution
94,2022-12-14,Ransomware,Internal Defacement;Collection;Data Obfuscation;Acquire Infrastructure;LSASS Memory,Impact;Ransom negotiation,Chimera;MuddyWater;FIN13;APT33;Earth Lusca;Threat Group-3390;Agrius;Cleaver;Sandworm Team;Star Blizzard,StrelaStealer;BlackCat;Ninja;FunnyDream;GreyEnergy;SILENTTRINITY,Validation;Detection;Media;Exfiltration;Privacy;Developments;Notification,4,2,195,Vulnerability Management;Legal,0.79519,0.515839,T1491.001;T1213.002;T1001;T1583;T1003.001,collection;command-and-control;credential-access;impact;resource-development,ESXi;Linux;Office Suite;PRE;Windows;macOS,Internal Website and System Content Defacement via UI or Messaging Modifications;Detection of Credential Dumping from LSASS Memory via Access and Dump Sequence;Detecting Abnormal SharePoint Data Mining by Privileged or Rare Users;Detection of Acquire Infrastructure;Detect Obfuscated C2 via Network Traffic Analysis
95,2020-01-01,Ransomware,Discovery;Multi-Factor Authentication Request Generation;System Owner/User Discovery;Dynamic Data Exchange;Credential Access;Replication Through Removable Media,Dark web;Crypto;Malware,Moonstone Sleet;APT41;Aoqin Dragon;Lazarus Group,PowerDuke;Gold Dragon,Response;Privacy;Legal;Developments;Media,3,4,105,Media;Exec,0.706561,1.0,T1580;T1621;T1033;T1559.002;T1558.004;T1091,credential-access;discovery;execution;initial-access;lateral-movement,IaaS;Identity Provider;Linux;Network Devices;Office Suite;SaaS;Windows;macOS,Removable Media Execution Chain Detection via File and Process Activity;Behavioral Detection of User Discovery via Local and Remote Enumeration;Detect AS-REP Roasting Attempts (T1558.004);Detection Strategy for Cloud Infrastructure Discovery;Detect Abuse of Dynamic Data Exchange (T1559.002);Detection Strategy for Multi-Factor Authentication Request Generation (T1621)
96,2022-11-11,DDoS;Insider Threat,SIP and Trust Provider Hijacking;Collection;Archive via Custom Method;Data Destruction,DDoS;Web;Financial,BRONZE BUTLER;Lazarus Group;Kimsuky;Fox Kitten;Lotus Blossom;Sandworm Team;RedCurl;Chimera;FIN6;APT28;APT38;Gamaredon Group;menuPass;Storm-0501;CopyKittens;Sowbug,KillDisk;MESSAGETAP,Media;Detection;Validation;Impact;Developments,3,4,120,SecOps;Vulnerability Management,0.077121,0.839446,T1553.003;T1039;T1560.003;T1485,collection;defense-evasion;impact,Containers;ESXi;IaaS;Linux;Windows;macOS,Detection Strategy for Subvert Trust Controls using SIP and Trust Provider Hijacking.;Detect Archiving via Custom Method (T1560.003);Detection of Data Destruction Across Platforms via Mass Overwrite and Deletion Patterns;Detection Strategy for Data from Network Shared Drive
97,2023-01-18,Crypto Miner,Malicious Library;Group Policy Discovery;IDE Extensions;System Network Configuration Discovery;Domain or Tenant Policy Modification;Symmetric Cryptography;Execution;Disable Crypto Hardware,DDoS;Malware;Botnet,RedCurl;MuddyWater;APT41;APT33;SideCopy;Inception;Darkhotel;APT32;OilRig;Sidewinder,FakeM;Zebrocy,Detection;Media;Validation;Developments;Impact;Legal;Notification;Response;Exfiltration;Privacy,3,5,30,SecOps;Exec,0.496829,0.602151,T1204.005;T1615;T1176.002;T1016;T1484;T1573.001;T1204.003;T1600.002,command-and-control;defense-evasion;discovery;execution;persistence;privilege-escalation,Containers;ESXi;IaaS;Identity Provider;Linux;Network Devices;Windows;macOS,Detection strategy for Group Policy Discovery on Windows;Behavioral Detection of System Network Configuration Discovery;User-Initiated Malicious Library Installation via Package Manager (T1204.005);Detection of Domain or Tenant Policy Modifications via AD and Identity Provider;User Execution – Malicious Image (containers & IaaS) – pull/run → start → anomalous behavior (T1204.003);Detect malicious IDE extension install/usage and IDE tunneling;Detection Strategy for Weaken Encryption: Disable Crypto Hardware on Network Devices;Detection Strategy for Encrypted Channel via Symmetric Cryptography across OS Platforms
98,2020-07-02,Banking Trojan,Internet Connection Discovery;Conditional Access Policies;Additional Local or Domain Groups;Persistence;Match Legitimate Resource Name or Location;Delete Cloud Instance;Modify Authentication Process;Wi-Fi Discovery,Exfiltration;Malware;Data breach,Ferocious Kitten;RedCurl;Indrik Spider;Transparent Tribe;Whitefly;BackdoorDiplomacy;HEXANE;menuPass;Blue Mockingbird;OilRig;TA2541;Volt Typhoon;Storm-1811;Akira,StrongPity;NightClub;S-Type,Detection;Impact;Exfiltration;Response;Media;Validation;Legal,1,2,165,Vulnerability Management;Network,0.615316,0.671423,T1016.001;T1556.009;T1098.007;T1098.001;T1036.005;T1578.003;T1556;T1016.002,credential-access;defense-evasion;discovery;persistence;privilege-escalation,Containers;ESXi;IaaS;Identity Provider;Linux;Network Devices;Office Suite;SaaS;Windows;macOS,Behavioral Detection of Wi-Fi Discovery Activity;Suspicious Addition to Local or Domain Groups;Detection Strategy for Additional Cloud Credentials in IaaS/IdP/SaaS;Detect Modification of Authentication Processes Across Platforms;Detection Strategy for Modify Cloud Compute Infrastructure: Delete Cloud Instance;Behavioral Detection of Internet Connection Discovery;Detect Conditional Access Policy Modification in Identity and Cloud Platforms;Detection Strategy for Masquerading via Legitimate Resource Name or Location
99,2021-12-21,Phishing;Banking Trojan,Account Access Removal;Discovery;Network Trust Dependencies;Multi-Factor Authentication;Drive-by Compromise;Gather Victim Network Information;Collection;Replication Through Removable Media,Data breach;Botnet;Exfiltration,APT28;Elderwood;Fox Kitten;Threat Group-3390;PLATINUM,LoudMiner;SUNBURST;WinMM;SOUNDBITE;Derusbi,Exfiltration;Legal;Impact;Validation;Developments;Privacy;Notification,2,3,120,Threat Intel;Media,0.768337,0.662712,T1531;T1083;T1590.003;T1556.006;T1189;T1590;T1560.003;T1091,collection;credential-access;defense-evasion;discovery;impact;initial-access;lateral-movement;persistence;reconnaissance,ESXi;IaaS;Identity Provider;Linux;Network Devices;Office Suite;PRE;SaaS;Windows;macOS,"Detection of Network Trust Dependencies;Removable Media Execution Chain Detection via File and Process Activity;Detect MFA Modification or Disabling Across Platforms;Detect Archiving via Custom Method (T1560.003);Drive-by Compromise — Behavior-based, Multi-platform Detection Strategy (T1189);Account Access Removal via Multi-Platform Audit Correlation;Recursive Enumeration of Files and Directories Across Privilege Contexts;Detection of Gather Victim Network Information"
100,2023-07-14,DDoS;Phishing,Hardware;Debugger Evasion;Impact;Execution;Endpoint Denial of Service;Resource Development,Botnet;Impact;Malware,Earth Lusca;APT17;Magic Hound;TA2541;ZIRCONIUM;Contagious Interview;TA578,StealBit,Exfiltration;Developments;Impact;Privacy;Legal;Notification,2,1,150,Threat Intel;SecOps,0.382133,0.699354,T1592.001;T1622;T1499.001;T1059.010;T1499;T1583.006,defense-evasion;discovery;execution;impact;reconnaissance;resource-development,Containers;IaaS;Linux;PRE;Windows;macOS,Detection Strategy for AutoHotKey & AutoIT Abuse;Endpoint Resource Saturation and Crash Pattern Detection Across Platforms;Detection Strategy for Debugger Evasion (T1622);Detection of Hardware;Detection of Web Services;Endpoint DoS via OS Exhaustion Flood Detection Strategy
